Mar  8, 2010,Uniques 28,710                         
Mar 8, 2010,Uniques 28,710
Mar 10, 2010,Uniques 24,378
Mar 11, 2010,Uniques 19,329
Mar 13, 2010,Uniques 13,943
Mar 14, 2010,Uniques 13,007
Mar 15, 2010,Uniques 20,631
Mar 16, 2010,Uniques 18,706
Mar 17, 2010,Uniques 18,470
Mar 18, 2010,Uniques 18,210
Mar 19, 2010,Uniques 17,309
Mar 20, 2010,Uniques 12,796
Mar 21, 2010,Uniques 13,929
Mar 22, 2010,Uniques 19,752
Mar 23, 2010,Uniques 19,145
Mar 24, 2010,Uniques 19,899
Mar 25, 2010,Uniques 22,180
Mar 26, 2010,Uniques 22,081
Mar 28, 2010,Uniques 15,405
Mar 29, 2010,Uniques 24,908
Mar 30, 2010,Uniques 27,707
Mar 31, 2010,Uniques 23,324
Apr 1, 2010,Uniques 20,857
Apr 2, 2010,Uniques 17,589
Apr 3, 2010,Uniques 12,882
Apr 4, 2010,Uniques 14,047
Apr 5, 2010,Uniques 22,191
Apr 6, 2010,Uniques 24,457
Apr 7, 2010,Uniques 29,734
Apr 8, 2010,Uniques 34,348
Apr 9, 2010,Uniques 22,229
Apr 10, 2010,Uniques 18,752
Apr 12, 2010,Uniques 25,951
Apr 13, 2010,Uniques 24,414
Apr 14, 2010,Uniques 24,259
Apr 15, 2010,Uniques 25,847
Apr 16, 2010,Uniques 21,685
Apr 17, 2010,Uniques 15,302
Apr 18, 2010,Uniques 16,045
Apr 19, 2010,Uniques 24,262
Apr 20, 2010,Uniques 26,969
Apr 21, 2010,Uniques 27,085
Apr 22, 2010,Uniques 24,916
Apr 23, 2010,Uniques 21,244
Apr 24, 2010,Uniques 15,231
Apr 25, 2010,Uniques 16,841
Apr 27, 2010,Uniques 24,917
Apr 28, 2010,Uniques 30,671
Apr 29, 2010,Uniques 26,216
Apr 30, 2010,Uniques 24,420
May 1, 2010,Uniques 18,273
May 2, 2010,Uniques 18,715
May 3, 2010,Uniques 26,120
May 4, 2010,Uniques 27,024
May 5, 2010,Uniques 29,034
May 6, 2010,Uniques 30,396
May 7, 2010,Uniques 24,365
May 8, 2010,Uniques 19,202
May 9, 2010,Uniques 44,095
May 10, 2010,Uniques 74,778
May 12, 2010,Uniques 81,415
May 13, 2010,Uniques 106,098
May 14, 2010,Uniques 77,910
May 15, 2010,Uniques 40,257
May 16, 2010,Uniques 40,580
May 17, 2010,Uniques 70,206
May 18, 2010,Uniques 56,781
May 19, 2010,Uniques 53,009
May 20, 2010,Uniques 46,874
May 21, 2010,Uniques 45,847
May 22, 2010,Uniques 28,929
May 23, 2010,Uniques 30,980
May 24, 2010,Uniques 44,342
May 25, 2010,Uniques 44,937
May 27, 2010,Uniques 38,831
May 28, 2010,Uniques 31,326
May 29, 2010,Uniques 22,343
May 30, 2010,Uniques 23,681
May 31, 2010,Uniques 39,008
Jun 1, 2010,Uniques 43,621
Jun 2, 2010,Uniques 40,919
Jun 3, 2010,Uniques 37,987
Jun 4, 2010,Uniques 34,564
Jun 5, 2010,Uniques 23,560
Jun 6, 2010,Uniques 25,075
Jun 7, 2010,Uniques 34,428
Jun 8, 2010,Uniques 41,715
Jun 9, 2010,Uniques 38,145
Jun 11, 2010,Uniques 29,029
Jun 12, 2010,Uniques 20,585
Jun 13, 2010,Uniques 26,671
Jun 14, 2010,Uniques 33,842
Jun 15, 2010,Uniques 35,240
Jun 16, 2010,Uniques 34,567
Jun 17, 2010,Uniques 32,909
Jun 18, 2010,Uniques 29,172
Jun 19, 2010,Uniques 24,267
Jun 20, 2010,Uniques 25,738
Jun 21, 2010,Uniques 38,031
Jun 22, 2010,Uniques 40,133
Jun 23, 2010,Uniques 34,274
Jun 24, 2010,Uniques 32,502
Jun 26, 2010,Uniques 20,439
Jun 27, 2010,Uniques 23,335
Jun 28, 2010,Uniques 36,250
Jun 29, 2010,Uniques 61,570
Jun 30, 2010,Uniques 82,481
Jul 1, 2010,Uniques 68,073
Jul 2, 2010,Uniques 40,008
Jul 3, 2010,Uniques 24,001
Jul 4, 2010,Uniques 20,805
Jul 5, 2010,Uniques 28,288
Jul 6, 2010,Uniques 38,965
Jul 7, 2010,Uniques 40,800
Jul 8, 2010,Uniques 40,734
Jul 10, 2010,Uniques 23,661
Jul 11, 2010,Uniques 24,353
Jul 12, 2010,Uniques 39,360
Jul 13, 2010,Uniques 42,689
Jul 14, 2010,Uniques 45,567
Jul 15, 2010,Uniques 39,682
Jul 16, 2010,Uniques 37,605
Jul 17, 2010,Uniques 24,061
Jul 18, 2010,Uniques 23,631
Jul 19, 2010,Uniques 36,475
Jul 20, 2010,Uniques 40,126
Jul 21, 2010,Uniques 43,715
Jul 22, 2010,Uniques 37,878
Jul 23, 2010,Uniques 35,107
Jul 25, 2010,Uniques 24,798
Jul 26, 2010,Uniques 35,871
Jul 27, 2010,Uniques 38,831
Jul 28, 2010,Uniques 42,026
Jul 29, 2010,Uniques 37,623
Jul 30, 2010,Uniques 34,099
Jul 31, 2010,Uniques 23,765
Aug 1, 2010,Uniques 25,335
Aug 2, 2010,Uniques 36,369
Aug 3, 2010,Uniques 36,299
Aug 4, 2010,Uniques 42,622
Aug 5, 2010,Uniques 39,047
Aug 6, 2010,Uniques 34,845
Aug 7, 2010,Uniques 23,722
Aug 9, 2010,Uniques 37,404
Aug 10, 2010,Uniques 37,343
Aug 11, 2010,Uniques 46,179
Aug 12, 2010,Uniques 41,399
Aug 13, 2010,Uniques 40,255
Aug 14, 2010,Uniques 30,355
Aug 15, 2010,Uniques 28,830
Aug 16, 2010,Uniques 43,485
Aug 17, 2010,Uniques 42,533
Aug 18, 2010,Uniques 48,443
Aug 19, 2010,Uniques 45,183
Aug 20, 2010,Uniques 38,269
Aug 21, 2010,Uniques 34,343
Aug 22, 2010,Uniques 45,418
Aug 24, 2010,Uniques 42,161
Aug 25, 2010,Uniques 45,296
Aug 26, 2010,Uniques 46,887
Aug 27, 2010,Uniques 39,075
Aug 28, 2010,Uniques 100,324
Aug 29, 2010,Uniques 118,485
Aug 30, 2010,Uniques 117,090
Aug 31, 2010,Uniques 103,719
Sep 1, 2010,Uniques 98,146
